Date,Open,High,Low,Close,Volume,Adj Close
2010-06-29,19.0000,25.0000,17.5400,23.8899,18766300,23.8899
2010-06-30,25.7900,30.4200,23.2999,23.8300,17183100,23.8300
2010-07-01,25.0000,25.9200,20.2700,21.9599,8218800,21.9599
2010-07-02,23.0000,23.1000,18.7099,19.2000,5139800,19.2000
2010-07-03,20.0000,20.0000,15.8300,16.1100,6866900,16.1100
